,Target Summary,Generated Summary(Longdformer),Generated Summary(BART-decode-mod)
11,although strong evidence supports the use of magnesium sulphate for prevention and treatment of eclampsia trials comparing alternative treatment regimens are too small for reliable conclusions.,there is insufficient evidence to support or refute the use of magnesium sulfate in the treatment of pre-eclampsia., there is insufficient evidence to support or refute the use of magnesium sulphate regimens for women with pre-eclampsia during antepartum and postpartum periods. there is a need for further well-designed controlled trials to evaluate the efficacy and safety of these regimens in women with preeclampsiae. such trials should be conducted in low-income countries.
12,we found conflicting evidence for erythropoiesis-stimulating agents to increase quality of life and hemoglobin level by treating anemia in patients with rheumatoid arthritis. however this conclusion is based on randomized controlled trials with a high risk of bias and relies on trials assessing human recombinant erythropoietin epo). the safety profile of epo is unclear. future trials assessing erythropoiesis-stimulating agents for anemia in rheumatoid arthritis should be conducted by independent researchers and reported according to the consort statements. trials should be based on outcome measures in rheumatoid arthritis clinical trials omeract and the patient-centered outcomes research institute pcori approaches for combining both clinician and patient perspectives.,there is insufficient evidence to support the use of human erythropoietin in the treatment of rheumatoid arthritis. further randomised controlled trials are needed., there is insufficient evidence to support or refute the use of erythropoietin in rheumatoid arthritis. however there is a need for well-designed adequately powered rcts to evaluate the effects of this intervention on patients with ra. such trials should be conducted in patients with moderate to severe disease acd with adequate follow-up to assess the effect of this treatment on adverse events.
13,overall there is preliminary evidence that a variety of cognitive-behavioral interventions can be used with children and adolescents to successfully manage or reduce pain and distress associated with needle-related procedures. however many of the included studies received lower quality scores because they failed to describe the randomization procedure and participant withdrawals or drop-outs from the study. further rcts need to be conducted particularly for the many interventions for which we could not locate any trials.,there is insufficient evidence to support or refute the use of local anesthetics in the management of pain in children., there is insufficient evidence to support or refute the use of distraction as an intervention for treating children with non-life-threatening conditions. there is a need for further trials to investigate the effects of distraction on children with severe adverse conditions and to compare the effectiveness of this intervention with other types of treatment for this condition. there are insufficient data to support the routine use of any type of distraction over other treatments for children with no-life threatening conditions.
14,there was evidence individual tfcbt emdr stress management and group tfcbt are effective in the treatment of ptsd. other non-trauma focused psychological treatments did not reduce ptsd symptoms as significantly. there was some evidence that individual tfcbt and emdr are superior to stress management in the treatment of ptsd at between 2 and 5 months following treatment and also that tfcbt emdr and stress management were more effective than other therapies. there was insufficient evidence to determine whether psychological treatment is harmful. there was some evidence of greater drop-out in active treatment groups. the considerable unexplained heterogeneity observed in these comparisons and the potential impact of publication bias on these data suggest the need for caution in interpreting the results of this review.,there is insufficient evidence to support or refute the use of psychotherapy in the treatment of posttraumatic stress disorder. further research is needed., there is insufficient evidence to support the use of psychotherapy for posttraumatic stress disorder in people with ptsd and depression. there is no evidence that psychotherapy is effective in reducing ptsd symptoms in people who are experiencing traumatic stress disorder and depression but there is evidence that it is not effective in treating traumatic stress disorders in women with severe posttraumatic shock disorder and psychotherapeutic.
15,no male hormonal contraceptive is ready for clinical use. most trials were small exploratory studies. their power to detect important differences was limited and their results imprecise. in addition assessment of azoospermia can vary by sensitivity of the method used. future trials need more attention to the methodological requirements for rcts. more trials with adequate power would also be helpful.,there is insufficient evidence to support or refute the use of oral progestogens for the suppression of spermatogenesis in healthy men., oestrogen monotherapy is effective in suppressing spermatogenesis to azoospermia in chinese men but there is insufficient evidence to support or refute the use of monotherapy monotherapy over oestrogens monotherapy. men with azoosespermia should be treated with a long-acting corticosteroid to suppress spermaogenesis to prevent azoosaazoospermia. men who are unable to tolerate oestradiol and who are unwilling to use oestra-reductase inhibitors to prevent anoaspermia with a large-acting testosterone in order to reduce spermia and to prevent gonadotrophin-stimulating hormone in addition to anoazoosperogen and to stop using a large dose of oestRA-stimulation with a mon-actosterone for azootrophins and to use a large loading dose of azoosep to prevent oestria in chia men with oestroazoosparuspermia and azoosalp-stimulants for preventing anoastrogen deficiency in china men with no treatment or no treatment for oestrospermia for preventing gonadotropins in chinos and no treatment with a corticasa for preventing oestras for preventing sexual changes in chinomosa-reduction in men with anoasis in chases and no cure for men with anticoagulants in chanoma and oestriotherapy for preventing vasoasis for preventing sexually impaired men who have a decreased history to prevent sexual changes and a decrease in libido in men who will stop using an oestronous monotherapy to prevent vasoagulation in a monotherapy in choco-controlled women with a decreased treatment for men who is unable to have an adequate treatment to prevent sexually active men who would prefer to have a mild treatment in a mild-controlled disease with a reduction in a decreased dose of mon-vent
16,nonsteroidal anti-inflammatory drugs reduce bleeding and pain associated with iud use. nsaids should be considered first-line therapy if nsaids are ineffective tranexamic acid may be considered as second-line therapy. prophylactic ibuprofen administration with the first six menses after insertion appears unwarranted.,there is insufficient evidence to support or refute the use of iuds in women with iud-related pain., there is insufficient evidence to support or refute the use of anti-prostaglandine drugs for the treatment of iud-induced menorrhagia and dysmenorrhea in women with intrauterine contraceptive devices. there is a need for further well-designed controlled trials to determine the effectiveness of these drugs for women with iuds and to determine whether they are effective in reducing menstrual blood loss.
17,this review found no evidence that early inhaled steroids confer important advantages over systemic steroids in the management of ventilator dependent preterm infants. neither inhaled steroids nor systemic steroids can be recommended as a part of standard practice for ventilated preterm infants. because they might have fewer adverse effects than systemic steroids further randomised controlled trials of inhaled steroids are needed that address risk/benefit ratio of different delivery techniques dosing schedules and long-term effects with particular attention to neurodevelopmental outcome.,there is insufficient evidence to support or refute the use of inhaled beclomethasone in preterm infants with chronic lung disease., preterm infants at risk of chronic lung disease should be treated with corticosteroids to prevent cld. there is insufficient evidence to support or refute the routine use of early systemic steroids in preterm preterm newborns. further research is needed to determine the optimal dose and duration of steroid use in preterms infants. note the six citations in the awaiting classification section of the review may alter the conclusions of the conclusions once assessed.
18,there is currently no evidence of the effects of extraction of primary canine teeth in 10-13 year old children with one or two palatally displaced permanent canine teeth.,there is insufficient evidence to support or refute the use of cephalometric superimposition in the prevention of canine eruption. further research is needed to determine the optimal use of this technique., there is insufficient evidence to support or refute the use of the primary canine only in the treatment of pdc. further research is needed to determine the role of primary and secondary canine only on the treatment and prevention of pre-existing pdc pdc and to determine whether the primary or secondary canine can be used as an adjunctive treatment for pdc in this setting.
19,we did not find good evidence to show that hbot improves clinical outcomes when applied during the acute presentation of ischaemic stroke. while evidence from the six rcts is insufficient to provide clear guidelines for practice the possibility of clinical benefit has not been excluded. further research is required to better define the role of hbot in this condition.,there is insufficient evidence to support or refute the use of hyperbaric oxygen therapy in patients with acute ischemic stroke., there is insufficient evidence to support or refute the use of hyperbaric oxygen therapy for acute ischemic stroke. however there is a need for further well-designed controlled trials to evaluate the efficacy and safety of this therapy. such trials should be conducted in patients with acute ischaemia and should be powered to assess the safety and efficacy of this intervention.
20,only tentative conclusions can be drawn from the available evidence in this review. compared with orif there was some evidence that radial head replacement had better elbow function and fewer adverse events for mason type iii radial head fractures in the short term. however the evidence is of low quality and it is unknown whether these results would apply in the longer term or more generally. using biodegradable implants may be as good as metallic implants for fixation of some usually more stable fractures but more evidence is needed to confirm this. there is a need for good quality evidence for addressing the areas of uncertainty for the surgical treatment of radial head fractures.,there is insufficient evidence to support the use of internal fixation for radial head fractures in patients with mason type iii radial heads., there is currently insufficient evidence to support or refute the use of surgical implants for radial head fractures in adults. further trials are needed to determine the optimal surgical implant type for the treatment of radial head fracture in adults with unstable fractures of the radial head and to determine whether surgical implants are safe and effective for this type of fracture. future trials should include adequately powered randomised controlled trials with adequate sample sizes and adequate follow-up.
21,the practice of surgical and chemical sympathectomy for neuropathic pain and crps is based on very little high quality evidence. sympathectomy should be used cautiously in clinical practice in carefully selected patients and probably only after failure of other treatment options.,there is insufficient evidence to support or refute the use of percutaneous radiofrequency lumbar sympathectomy for the treatment of patients with lad., there is insufficient evidence to support or refute the use of radiofrequency thermal lumbar sympathectomy as a treatment for acute regional pain syndrome type 1 </population> however there is a need for well-designed adequately powered randomised controlled trials with adequate sample sizes and adequate follow-up. such trials should be conducted in high-income countries.
22,icbi are effective tools for learning about sexual health and they also show positive effects on self-efficacy intention and sexual behaviour. more research is needed to establish whether icbi can impact on biological outcomes to understand how interventions might work and whether they are cost-effective.,there is insufficient evidence to support or refute the use of computer-mediated interventions for hiv prevention in adolescents., there is currently insufficient evidence to support or refute the effectiveness of computer-assisted interventions for sexual risk reduction in people with sexually transmitted disease. there is a need for further high quality trials to evaluate the effectiveness and safety of computer interventions for sexually transmitted diseases. future research should focus on improving the quality of life of people with sexual transmitted disease and on the prevention of hiv and its complications.
23,the involvement of ihw in asthma programs targeted for their own ethnic group in one small trial was beneficial in improving most but not all asthma outcomes in children with asthma. it is very likely that involvement of an ihw is beneficial. however as exacerbation frequency was not significantly different between groups we cannot be confident of the results in all settings. nevertheless given the complexity of health outcomes and culture as well as the importance of self-determination for indigenous peoples the practice of including ihw in asthma education programs for indigenous children and adults with asthma is justified but should be subject to further randomised controlled trials.,there is insufficient evidence to support or refute the use of ihcws in the treatment of children with asthma., there is insufficient evidence to support or refute the use of interventions to improve asthma outcomes in people with asthma. we recommend that interventions be based on the best available evidence and that they should be used in combination with other interventions such as pharmacological interventions for children with asthma who are at high risk of developing asthma exacerbations and who are willing to take part in clinical trials.
24,in addition to these randomized controlled trials a body of lower quality evidence does exist relevant to two other important interventions the use of supplemental enteral nutrition morin 1980 belli 1988 israel 1995 and the judicious use of surgical interventions in pre-pubertal children with refractory disease alperstein 1985 lipson 1990 mclain 1990). newer treatments such as infliximab are now becoming more widely used and may offer advantages in promoting growth. these effects are as yet unstudied. this review highlights the need for large multi centre studies of the different treatment options in paediatric crohn's disease and the importance of standardised measurements of growth such as height velocity standard deviation scores and height standard deviation scores as outcome measures.,there is insufficient evidence to support or refute the use of oral steroids in children with active crohn's disease., there is insufficient evidence to support or refute the use of dietary supplements for the treatment of active crohn's disease. there is a need for well-designed adequately powered randomised controlled trials to evaluate the effects of dietary intake on clinical outcomes such as quality of life and progression of disease. such trials should be conducted in low-income countries with a high risk of bias.
25,a single dose of paracetamol provides effective analgesia for about half of patients with acute postoperative pain for a period of about four hours and is associated with few mainly mild adverse events.,the is insufficient evidence to support the use of acetaminophen in the treatment of postoperative dental pain., acetaminophen is effective analgesics for postoperative analgesia in post-operative pain and analgesia is associated with analgesia and associated analgesia with a reduction of pain after analgesia. the combination of 60 mg codeine and 60 mg acetaminol is effective for post-interventions but the combination is not associated with an analgesia associated analgesic with a decrease of pain in postoperative pain but the reduction of post-outcomes is not significant.
26,people with mild moderate or severe dementia due to alzheimer's disease treated for periods of 12 24 or 52 weeks with donepezil experienced benefits in cognitive function activities of daily living and behaviour. study clinicians rated global clinical state more positively in treated patients and measured less decline in measures of global disease severity. there is some evidence that use of donepezil is neither more nor less expensive compared with placebo when assessing total health care resource costs. benefits on the 10 mg/day dose were marginally larger than on the 5 mg/day dose. taking into consideration the better tolerability of the 5 mg/day donepezil compared with the 10 mg/day dose together with the lower cost the lower dose may be the better option. the debate on whether donepezil is effective continues despite the evidence of efficacy from the clinical studies because the treatment effects are small and are not always apparent in practice.,there is insufficient evidence to support the use of donepezil for the treatment of alzheimer's disease in patients with mild to moderate ad., donepezil hydrochloride therapy for alzheimer's disease is associated with a reduction in symptoms and progression of dementia in patients with mild to moderately severe dementia. there is insufficient evidence to support its use as a treatment for mild and moderately severe disease. there are insufficient data to support the use of this treatment in patients who are at increased risk of deterioration in dementia.
27,there is insufficient evidence to support the routine use of any particular intervention either for pituitary down regulation ovarian stimulation or adjuvant therapy in the management of poor responders to controlled ovarian stimulation in ivf. more robust data from good quality rcts with relevant outcomes are needed.,the is insufficient evidence to support or refute the use of gonadotrophin agonists for ovarian hyperstimulation., there is insufficient evidence to support or refute the use of gonadotrophins as an oocyte agonist in ivf cycles due to inadequate ovarian response and insufficient oocytes obtained prior to and during induction of of cycles. there are insufficient data to make any recommendations for clinical practice based on current available evidence. future research should focus on improving the quality of life in women with inadequate oocytes following oocytes retrieved prior to or during of cycle and on improving clinical pregnancy rates.
28,current evidence regarding the effectiveness of anticonvulsants in patients with tinnitus has significant risk of bias. there is no evidence from studies performed so far to show that anticonvulsants have a large positive effect in the treatment of tinnitus but a small effect of doubtful clinical significance has been demonstrated.,there is insufficient evidence to support or refute the use of carbamazepine for the treatment of idiopathic subjective tinnitus., gabapentin and lamotrigine are effective for the relief of tinnitus in patients with moderate tinnis. however there is insufficient evidence to support or refute the use of these drugs in the treatment of moderate to severe tinniitus. further trials are required to determine the optimal dose and duration of treatment and to assess the effects of these agents on patients with tinnititus.
29,there is limited evidence from one small study to support the use of systemic antibiotics for the curative treatment of chronic rhinosinusitis in adults. further good quality trials with large sample sizes are needed to evaluate the use of antibiotics in chronic rhinosinusitis.,there is insufficient evidence to support or refute the use of macrolide antibiotics in the treatment of rhinosinusitis., there is insufficient evidence to support or refute the use of macrolide antibiotics for rhinosinusitis. there is a need for well-designed adequately powered placebo-controlled trials to evaluate the efficacy and safety of this intervention. such trials should be conducted in low-income countries with low incidence of complications such as pneumonia and other adverse effects such as diabetes.
30,current evidence suggests that antihistamine-analgesic-decongestant combinations have some general benefit in adults and older children. these benefits must be weighed against the risk of adverse effects. there is no evidence of effectiveness in young children.,there is insufficient evidence to support the use of pseudoephedrine in the treatment of common colds., there is insufficient evidence to support the use of antihistamine-decongestants in children with common colds. there is no evidence to suggest that the combination is superior to the combination in relieving nasal congestion in adults or children with acute rhinovirus colds or in combination with other antihistamines. there are no studies comparing the combination of the combination with the monosterants in adults and children with severe sinus symptoms and there is a need for further trials to determine the effect of combination of combination medications in adults with severe nasal congestion and to compare the effects of combination with non-sinusus symptoms.
31,there is some evidence to suggest that csii may be better than mi for glycaemic control in people with type 1 diabetes. non-severe hypoglycaemic events do not appear to be reduced with csii. there is insufficient evidence regarding adverse events mortality morbidity and costs.,there is insufficient evidence to support or refute the use of continuous subcutaneous insulin infusion for the prevention of hypoglycaemia in people with type 1 diabetes., there is insufficient evidence to support the use of insulin-dependent insulin infusion for type 1 diabetes mellitus in type 1 diabetic patients with type 1 retinopathy. there is no evidence to suggest that continuous subcutaneous insulin infusion is associated with a reduction in hypoglycaemia and a decrease in blood glucose levels. there are no studies comparing insulin-based insulin-derived insulin-containing insulin-treated patients with mdi with type-2 retinopaths and no studies assessing the effect of insulin on glycaemic control in type-1 diabetic patients.
32,longitudinal studies consistently suggest that exposure to tobacco advertising and promotion is associated with the likelihood that adolescents will start to smoke. based on the strength and specificity of this association evidence of a dose-response relationship the consistency of findings across numerous observational studies temporality of exposure and smoking behaviours observed as well as the theoretical plausibility regarding the impact of advertising we conclude that tobacco advertising and promotion increases the likelihood that adolescents will start to smoke.,there is insufficient evidence to support or refute the use of cigarette advertising in the promotion of smoking. further research is needed., there is insufficient evidence to support or refute the use of tobacco marketing as an effective means of promoting smoking in children and adolescents. there is a need for further research to investigate the effectiveness of tobacco promotion as an intervention for promoting smoking among children and young people in germany. the results of this review suggest that there is no convincing evidence that tobacco marketing is effective in promoting young people to stop smoking.
33,based on the limited evidence found we cannot conclude whether thrombolytic therapy is better than heparin for pulmonary embolism. more double-blind rcts with subgroup analysis of patients presenting with haemodynamically stable acute pulmonary embolism compared to those patients with a haemodynamic unstable condition are required.,there is insufficient evidence to support the use of heparin in the treatment of pulmonary embolism., there is insufficient evidence to support the use of heparin-plus-alteplase for acute pulmonary embolism in patients with acute submassive pulmonary embolaism. there is a need for further well-designed controlled trials to investigate the efficacy and safety of different heparins-containing agents for acute submy pulmonary embolicism in this population.
34,the conclusions that can be drawn from this meta-analysis are limited due to the small number of studies. for none of the outcomes was a statistically significant difference seen between the different interventions. current consensus is for the intrapartum administration of antibiotics when the diagnosis of intraamniotic infection is made however the results of this review neither support nor refute this although there was a trend towards improved neonatal outcomes when antibiotics were administered intrapartum. no recommendations can be made on the most appropriate antimicrobial regimen to choose to treat intraamniotic infection. note the six citations in the awaiting classification section of the review may alter the conclusions of the review once assessed.,there is insufficient evidence to support or refute the use of intra-amniotic antibiotics for the prevention of endometritis. further trials are needed., there is insufficient evidence to support or refute the routine use of antibiotics for intra-amniotic infection in women with umbilical cord infection. further research is needed to determine the optimal antibiotic regimen for intra–amniotic treatment in women who are at high risk of endometritis. note the four citations in the awaiting classification section of the review may alter the conclusions of this review once assessed.
35,diflunisal has an analgesic effect similar to other nsaids in single dose but benefits from providing significant analgesia for about twelve hours. this property may be useful when regular dosing is needed or when taking several doses of a shorter acting analgesic is impractical.,there is insufficient evidence to support the use of diflunisal in the treatment of postoperative pain., diflunisal is effective in treating postoperative pain after meniscectomy but there is insufficient evidence to support its use as an adjuvant for postoperative analgesia. the available trials are too small to draw any definite conclusions about its efficacy. the current available evidence is insufficient to make any recommendations for the management of postoperative post-operative pain following oral surgery. future research should focus on improving the quality of life of patients with preoperative pain.
36,regimens for the acute phase of illness should contain ceftazidime or imipenem. it is not yet clear if combinations of treatments in the early phase reduce relapse. for oral therapy after the acute phase of treatment trials suggest that conventional four drug regimens can be used for treatment.,there is insufficient evidence to support the use of culture-confirmed melioidosis as a treatment for severe melioids. further randomised controlled trials are needed., there is insufficient evidence to support or refute the use of culture-confirmed regimens in people with melioidosis in thailand. there is no evidence to suggest that the combination regimens are more effective than the combination regimen in reducing mortality in these patients. there are insufficient data to support the routine use of these regimens as monotherapy in people who are suspected of having melioidsosis. no studies are available to determine the optimal combination regimen for the treatment of melioidiosis in people treated with monotherapy.
37,telephone consultation appears to reduce the number of surgery contacts and out-of-hours visits by general practitioners. however questions remain about its affect on service use and further rigorous evaluation is needed with emphasis on service use safety cost and patient satisfaction.,there is insufficient evidence to support or refute the use of telephone telephonic consultations in primary care settings., telephone consultations with general practitioners are effective in reducing the demand for same-day appointments in general practice. however there is insufficient evidence to support or refute the use of telephone consultations as a substitute for other forms of primary care in patients with pre-existing conditions. further research is required to determine whether telephone consultations are an effective intervention for patients who are to receive care in the emergency setting.
38,cyproterone acetate combined with estradiol results in a subjective improvement in hirsutism compared to placebo. clinical differences in outcome between cyproterone acetate and other medical therapies were not demonstrated in the studies included in this review. this may be because of the small size of the studies lack of standardized assessment and lack of objective determinants of improvement in hirsutism. the endocrinological effects of the different drug therapies reflect the mode of action. larger carefully designed studies are needed to compare efficacy and safety profiles between drug therapies for hirsutism.,there is insufficient evidence to support or refute the use of oral contraceptives for women with idiopathic or functional ovarian hyperandrogenism., there is insufficient evidence to support the use of long-acting gonadotropins in combination with an oral contraceptive for hirsutism. there is a need for further well-designed and reported trials to determine the optimal combination of progestational hormone agonists and progestogen therapy for women with pisa pisa and hystrogen. the current evidence is insufficient to make any recommendations for clinical practice.
39,inhaled antibiotic treatment probably improves lung function and reduces exacerbation rate but a pooled estimate of the level of benefit is not possible. the best evidence is for inhaled tobramycin. more evidence from trials of longer duration is needed to determine whether this benefit is maintained and to determine the significance of development of antibiotic-resistant organisms.,there is insufficient evidence to determine whether tobramycin improves lung function in patients with cystic fibrosis. there is no evidence to support or refute the use of inhaled or inhaled inhaled antibiotics for the treatment of pulmonary disease., there is insufficient evidence to support the use of p. aeruginosa in cystic fibrosis for the treatment of pseudomonas aeruginaosa infection in adults. there is no evidence to suggest that the treatment is associated with a reduction in pulmonary status in people with pseudomonates aeruginososa infection. there are insufficient data to assess the effect of the treatment on pulmonary function and microbiologic outcome in people who are stable with cyst fibrosis. there was no evidence that there was any difference between the treatment and the control groups in terms of pulmonary status and clinical outcomes.
40,we could not identify an antibiotic adjuvant therapy that could be recommended for the treatment of lung infection in those with cystic fibrosis. the emergence of increasingly resistant bacteria makes the reliance on antibiotics alone challenging for cystic fibrosis teams. there is a need to explore alternative strategies such as the use of adjuvant therapies. further research is required to provide future therapeutic options.,there is insufficient evidence to support or refute the use of beta-carotene in the treatment of cf., there is insufficient evidence to support or refute the use of oral beta-carotene supplementation in cystic fibrosis. there is a need for well-designed controlled trials to evaluate the efficacy and safety of this intervention in people with cf. such trials should be conducted in people at high risk of adverse events and should be powered to detect clinically important differences in adverse events.
41,antibiotic prophylaxis is effective in preventing infectious complications following trpb. there is no definitive data to confirm that antibiotics for long-course 3 days are superior to short-course treatments 1 day or that multiple-dose treatment is superior to single-dose.,there is insufficient evidence to support the use of antibiotics in the treatment of prostate biopsies. there is a need for further trials., antimicrobial prophylaxis is effective in reducing bacteriuria after transrectal prostatic biopsy of the prostate. the combination of antimicroicroactic regimens does not seem to be associated with a reduction in bacterialiuria but the number of patients needing hospital is too small to draw any conclusions. antimicrootal prostasis biopsy is not associated with an increased risk of bacteriological complications. the reduction is associated with antimicroscreatasis. however there is insufficient evidence to support the use of antibiotics to reduce bacteriuria in the treatment of patients with urinary tract infections.
